ID,224517
Name,Brass: Birmingham <small>(2018)</small>
Beschreibung,"Brass: Birmingham is an economic strategy game sequel to Martin Wallace's 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution between the years of 1770 and 1870.&#10;&#10;It offers a very different story arc and experience from its predecessor. <span class='filter-values' data-player-number='2 3 4' data-mechanics='networks' data-themes='economy-infrastructure newHistory trains' ></span>"
Tagline,"Build networks, grow industries, and navigate the world of the Industrial Revolution."
Thumbnail,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg
-2,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,342942
Name,Arche Nova <small>(2021)</small>
Beschreibung,"In Ark Nova, you will plan and design a modern, scientifically managed zoo. With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world. Specialists and unique buildings will help you in achieving this goal. <span class='filter-values' data-player-number='1 2 3' data-mechanics='drafting tilePlacement' data-themes='animals economy-infrastructure science' ></span>"
Tagline,"Plan and build a modern, scientifically managed zoo to support conservation projects."
Thumbnail,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,233078
Name,Twilight Imperium: Fourth Edition <small>(2017)</small>
Beschreibung,"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players each take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='4 5 6' data-mechanics='trading areaControl' data-themes='adventure economy-infrastructure politics scifi war' ></span>"
Tagline,"Build an intergalactic empire through trade, research, conquest and grand politics."
Thumbnail,https://cf.geekdo-images.com/3ZpWxNbuBqlyLf8xvqkTAQ__thumb/img/Yw00sLeQknYukzmC8ofpcl0cjA8=/fit-in/200x150/filters:strip_icc()/pic7081527.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,316554
Name,Dune: Imperium <small>(2020)</small>
Beschreibung,"Dune: Imperium is a game that uses deck building to add a hidden information angle to traditional worker placement. It finds inspiration in elements and characters from the Dune legacy, both the new film from Legendary Pictures and the seminal literary series from Frank Herbert, Brian Herbert, and Kevin J. Anderson. <span class='filter-values' data-player-number='2 3 4' data-mechanics='deckBuilding drafting workerPlacement' data-themes='politics scifi' ></span>"
Tagline,"Influence, intrigue, and combat in the universe of Dune."
Thumbnail,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg
-1,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,167791
Name,Terraforming Mars <small>(2016)</small>
Beschreibung,"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='drafting tilePlacement' data-themes='animals economy-infrastructure science scifi' ></span>"
Tagline,Compete with rival CEOs to make Mars habitable and build your corporate empire.
Thumbnail,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg
-1,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,115746
Name,War of the Ring: Second Edition <small>(2011)</small>
Beschreibung,"In War of the Ring, one player takes control of the Free Peoples (FP) while the other player controls Shadow Armies (SA). Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions before they start to fight in earnest: this is represented by the Political Track which shows if a Nation is ready to fight in the War of the Ring or not.&#10;&#10;The game can be won by a military victory if Sauron conquers a certain number of Free People cities and strongholds, or vice versa. <span class='filter-values' data-player-number='2' data-mechanics='areaControl areaControl' data-themes='fantasy war' ></span>"
Tagline,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.
Thumbnail,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__thumb/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
0,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
-1,Release year (2 = new)
#####,Freizeile
ID,187645
Name,Star Wars: Rebellion <small>(2016)</small>
Beschreibung,"Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.&#10;&#10;Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. <span class='filter-values' data-player-number='2' data-mechanics='areaControl workerPlacement' data-themes='scifi war' ></span>"
Tagline,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.
Thumbnail,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__thumb/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
0,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,162886
Name,Spirit Island <small>(2017)</small>
Beschreibung,"In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing. As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there.&#10;&#10;Spirit Island is a complex and thematic co-operative game about defending your island home from colonizing Invaders. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='1 2 3' data-mechanics='areaControl deckBuilding areaControl' data-themes='animals fantasy war' ></span>"
Tagline,Island Spirits join forces using elemental powers to defend their home from invaders.
