"ID";"224517";
"Name";"Brass: Birmingham <small>(2018)</small>";
"Beschreibung";"In Brass: Birmingham werdet ihr zu ehrgeizigen Unternehmer:innen im Zeitalter der Industriellen Revolution. Ihr baut Netzwerke und Industrien im England des 18. und 19. Jahrhunderts auf. Während der Kanal- und Eisenbahnzeit müsst ihr wechselnde Marktnachfragen und wirtschaftliche Herausforderungen meistern. Nutzt jede Runde klug eure Aktionen, um Netzwerke auszubauen, Industrien zu errichten oder zu optimieren, um eure Konkurrenz zu übertreffen und die meisten Siegpunkte zu sammeln. <span class='filter-values' data-player-number='2 3 4' data-mechanics='' data-themes='cities' ></span>";
"Tagline";"Baue Netzwerke auf, entwickle Industrien und navigiere durch die Welt der Industriellen Revolution.";
"Thumbnail";"https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg";
"-2";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"2";"Language Dependence (2 = no text)";
"0";"Conflict (1 = low conflict)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"161936";
"Name";"Pandemic Legacy: Season 1 <small>(2015)</small>";
"Beschreibung";"In Pandemic Legacy: Season 1 werdet ihr über 12 bis 24 Sitzungen hinweg an einer packenden Kampagne arbeiten, die sich je nach eurem Erfolg entwickelt. Ihr beginnt damit, weltweit gegen Krankheiten vorzugehen, ähnlich wie im klassischen Pandemie, aber mit einer sich entwickelnden Geschichte. Euer Team von Spezialist:innen reist, heilt Seuchenherde und erforscht Heilmittel. Mit der Zeit seht ihr euch mit neuen Regeln und Dauerveränderungen konfrontiert, die euer Spiel prägen. Zusammenarbeit ist entscheidend, um die Menschheit zu retten. <span class='filter-values' data-player-number='2 3 4' data-mechanics='trading' data-themes='animals' ></span>";
"Tagline";"Mutierende Krankheiten verbreiten sich weltweit – kann dein Team die Menschheit retten?";
"Thumbnail";"https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png";
"0";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"-1";"Language Dependence (2 = no text)";
"1";"Conflict (1 = low conflict)";
"1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"342942";
"Name";"Arche Nova <small>(2021)</small>";
"Beschreibung";"In Arche Nova plant ihr euren eigenen Zoo und unterstützt Artenschutzprojekte weltweit. Baut Gehege, bringt Tiere unter und steigert die Attraktivität eures Zoos. Fünf Aktionskarten bieten abwechslungsreiche Strategien, deren Stärke von der Position abhängt. Nutzt die Vielfalt der Spielkarten geschickt, um eure Ziele zu erreichen und die wissenschaftliche Reputation zu steigern. Jeder Zug bringt euch dem Ziel eines erfolgreichen Zoos näher. <span class='filter-values' data-player-number='1 2 3' data-mechanics='tilePlacement drafting' data-themes='animals' ></span>";
"Tagline";"Plane und baue einen modernen, wissenschaftlich geführten Zoo, um Artenschutzprojekte zu unterstützen.";
"Thumbnail";"https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg";
"-2";"Difficulty (2 = easy)";
"-2";"Play Time (2 = short)";
"-1";"Language Dependence (2 = no text)";
"0";"Conflict (1 = low conflict)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"1";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"174430";
"Name";"Gloomhaven <small>(2017)</small>";
"Beschreibung";"In Gloomhaven übernehmt ihr die Rollen von mutigen Abenteurer:innen, die mit einzigartigen Fähigkeiten und Zielen ausgestattet sind. In einer sich ständig ändernden Welt erkundet ihr düstere Verliese und vergessene Ruinen, während ihr mit strategischem Kartenspiel gegen automatisierte Monster kämpft. Arbeitet zusammen, um eure Fähigkeiten zu verbessern und eine verzweigte Geschichte zu gestalten. Jede Runde erfordert clevere Entscheidungen, um erfolgreich zu bestehen. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='deckBuilding' data-themes='adventure fantasy' ></span>";
"Tagline";"Besiege Monster mit strategischem Kartenspiel. Erfülle deine Mission, um dein Vermächtnis zu hinterlassen!";
"Thumbnail";"https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg";
"-2";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"-1";"Language Dependence (2 = no text)";
"1";"Conflict (1 = low conflict)";
"1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"233078";
"Name";"Twilight Imperium: Fourth Edition <small>(2017)</small>";
"Beschreibung";"Twilight Imperium: Vierte Ausgabe ist ein strategisches Weltraumspiel, das euch in ein galaktisches Eroberungsabenteuer führt. Wählt aus siebzehn einzigartigen Fraktionen, jede bietet ein unverwechselbares Spielerlebnis. Durch strategisches Platzieren von Systemplättchen erschafft ihr eure Galaxie, während ihr neue Welten erforscht und euch in Handel oder Kriegsführung engagiert. Nutzt eure Fähigkeiten und gebt alles, um eure Gegner:innen auszumanövrieren und zuerst zehn Siegpunkte zu erreichen. <span class='filter-values' data-player-number='4 5 6' data-mechanics='trading' data-themes='scifi war' ></span>";
"Tagline";"Baue ein intergalaktisches Imperium durch Handel, Forschung, Eroberung und große Politik auf.";
"Thumbnail";"https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg";
"-2";"Difficulty (2 = easy)";
"-2";"Play Time (2 = short)";
"-1";"Language Dependence (2 = no text)";
"-1";"Conflict (1 = low conflict)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"316554";
"Name";"Dune: Imperium <small>(2020)</small>";
"Beschreibung";"In Dune: Imperium schlüpft ihr in die Rolle einer Anführer:in eines der Großen Häuser von Landsraad. Dieses strategische Spiel kombiniert Deckbau und Arbeiter:innen-Einsatz und schöpft Inspiration aus dem legendären Dune-Universum. Entwickelt eure Strategie, indem ihr mächtige Karten sammelt, Agent:innen einsetzt und politische Intrigen meistert. Kämpft um die Vorherrschaft auf Arrakis und bestimmt das Schicksal eures Hauses. <span class='filter-values' data-player-number='2 3 4' data-mechanics='deckBuilding workerPlacement drafting' data-themes='scifi' ></span>";
"Tagline";"Einflüsse, Intrigen und Kämpfe im Universum von Dune.";
"Thumbnail";"https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg";
"-1";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"0";"Language Dependence (2 = no text)";
"0";"Conflict (1 = low conflict)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"1";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"167791";
"Name";"Terraforming Mars <small>(2016)</small>";
