"ID";"224517";
"Name";"Brass: Birmingham <small>(2018)</small>";
"Beschreibung";"Brass: Birmingham is an economic strategy game sequel to Martin Wallace' 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870.&#10;&#10;As in its predecessor, you must develop, build, and establish your industries and network, in an effort to exploit low or high market demands.<br><span class='filter-values' data-player-number='2 3 4' data-mechanisms='' data-themes='cities'></span>";
"Tagline";"Build networks, grow industries, and navigate the world of the Industrial Revolution.";
"Thumbnail";"https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg";
"-2";"";
"-1";"";
"1";"";
"0";"";
"-1";"";
"#####";"Freizeile";
"ID";"161936";
"Name";"Pandemic Legacy: Season 1 <small>(2015)</small>";
"Beschreibung";"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand.&#10;&#10;During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station).<br><span class='filter-values' data-player-number='2 3 4' data-mechanisms='trading' data-themes='animals'></span>";
"Tagline";"Mutating diseases are spreading around the world - can your team save humanity?";
"Thumbnail";"https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png";
"0";"";
"1";"";
"-1";"";
"1";"";
"1";"";
"#####";"Freizeile";
"ID";"174430";
"Name";"Gloomhaven <small>(2017)</small>";
"Beschreibung";"Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins.<br><span class='filter-values' data-player-number='1 2 3 4' data-mechanisms='deckBuilding' data-themes='adventure fantasy'></span>";
"Tagline";"Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!";
"Thumbnail";"https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg";
"-2";"";
"-1";"";
"-1";"";
"1";"";
"1";"";
"#####";"Freizeile";
"ID";"342942";
"Name";"Ark Nova <small>(2021)</small>";
"Beschreibung";"In Ark Nova, you will plan and design a modern, scientifically managed zoo. With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world. Specialists and unique buildings will help you in achieving this goal.<br><span class='filter-values' data-player-number='1 2 3' data-mechanisms='tilePlacement drafting' data-themes='animals'></span>";
"Tagline";"Plan and build a modern, scientifically managed zoo to support conservation projects.";
"Thumbnail";"https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg";
"-2";"";
"-2";"";
"-1";"";
"0";"";
"-1";"";
"#####";"Freizeile";
"ID";"233078";
"Name";"Twilight Imperium: Fourth Edition <small>(2017)</small>";
"Beschreibung";"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy.<br><span class='filter-values' data-player-number='4 5 6' data-mechanisms='trading' data-themes='scifi war'></span>";
"Tagline";"Build an intergalactic empire through trade, research, conquest and grand politics.";
"Thumbnail";"https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg";
"-2";"";
"-2";"";
"-1";"";
"-1";"";
"-1";"";
"#####";"Freizeile";
"ID";"316554";
"Name";"Dune: Imperium <small>(2020)</small>";
"Beschreibung";"As a leader of one of the Great Houses of the Landsraad, raise your banner and marshal your forces and spies. War is coming, and at the center of the conflict is Arrakis – Dune, the desert planet. Dune: Imperium uses deck-building to add a hidden-information angle to traditional worker placement.<br><span class='filter-values' data-player-number='2 3 4' data-mechanisms='deckBuilding workerPlacement drafting' data-themes='scifi'></span>";
"Tagline";"Influence, intrigue, and combat in the universe of Dune.";
"Thumbnail";"https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg";
"-1";"";
"-1";"";
"0";"";
"0";"";
"-1";"";
"#####";"Freizeile";
"ID";"167791";
"Name";"Terraforming Mars <small>(2016)</small>";
"Beschreibung";"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things.<br><span class='filter-values' data-player-number='1 2 3 4' data-mechanisms='tilePlacement drafting' data-themes='animals cities scifi'></span>";
"Tagline";"Compete with rival CEOs to make Mars habitable and build your corporate empire.";
"Thumbnail";"https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg";
"-1";"";
"-1";"";
"-1";"";
"0";"";
"-1";"";
"#####";"Freizeile";
"ID";"115746";
"Name";"War of the Ring: Second Edition <small>(2011)</small>";
"Beschreibung";"In War of the Ring, one player takes control of the Free Peoples (FP), the other player controls Shadow Armies (SA). Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions, before they start to fight properly: this is represented by the Political Track, which shows if a Nation is ready to fight in the War of the Ring or not.&#10;&#10;The game can be won by a military victory, if Sauron conquers a certain number of Free People cities and strongholds or vice versa.<br><span class='filter-values' data-player-number='2' data-mechanisms='areaControl' data-themes='fantasy war'></span>";
"Tagline";"The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.";
"Thumbnail";"https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__thumb/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg";
"-2";"";
"-2";"";
"-1";"";
"-1";"";
"0";"";
"#####";"Freizeile";
"ID";"187645";
"Name";"Star Wars: Rebellion <small>(2016)</small>";
"Beschreibung";"Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.&#10;&#10;Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause.<br><span class='filter-values' data-player-number='2' data-mechanisms='areaControl workerPlacement' data-themes='scifi war'></span>";
"Tagline";"Strike from your hidden base as the Rebels—or find and destroy it as the Empire.";
